INDICATOR,YEAR,WHOREGION,COUNTRY,EXPENDITURES
Per capita total expenditure on health at average exchange rate (US$),2010,Western Pacific,Solomon Islands,94.9
Per capita government expenditure on health (PPP int. $),1997,Eastern Mediterranean,Somalia,7.6
Per capita government expenditure on health (PPP int. $),1996,Eastern Mediterranean,Somalia,7.6
Per capita government expenditure on health (PPP int. $),2001,Eastern Mediterranean,Somalia,7.7
Per capita government expenditure on health (PPP int. $),1995,Eastern Mediterranean,Somalia,7.4
Per capita government expenditure on health (PPP int. $),1999,Eastern Mediterranean,Somalia,7.5
Per capita government expenditure on health (PPP int. $),2000,Eastern Mediterranean,Somalia,7.6
Per capita government expenditure on health (PPP int. $),1998,Eastern Mediterranean,Somalia,7.9
Per capita government expenditure on health at average exchange rate (US$),2000,Eastern Mediterranean,Somalia,3
Per capita government expenditure on health at average exchange rate (US$),1998,Eastern Mediterranean,Somalia,3.5
Per capita government expenditure on health at average exchange rate (US$),1996,Eastern Mediterranean,Somalia,2.2
Per capita government expenditure on health at average exchange rate (US$),1995,Eastern Mediterranean,Somalia,2.1
Per capita government expenditure on health at average exchange rate (US$),1999,Eastern Mediterranean,Somalia,3.4
Per capita government expenditure on health at average exchange rate (US$),2001,Eastern Mediterranean,Somalia,1.7
Per capita government expenditure on health at average exchange rate (US$),1997,Eastern Mediterranean,Somalia,2.7
Per capita total expenditure on health (PPP int. $),1999,Eastern Mediterranean,Somalia,16.7
Per capita total expenditure on health (PPP int. $),2000,Eastern Mediterranean,Somalia,16.9
Per capita total expenditure on health (PPP int. $),1998,Eastern Mediterranean,Somalia,17.1
Per capita total expenditure on health (PPP int. $),1996,Eastern Mediterranean,Somalia,17.1
Per capita total expenditure on health (PPP int. $),1997,Eastern Mediterranean,Somalia,16.7
Per capita total expenditure on health (PPP int. $),2001,Eastern Mediterranean,Somalia,17.2
Per capita total expenditure on health (PPP int. $),1995,Eastern Mediterranean,Somalia,17.1
Per capita total expenditure on health at average exchange rate (US$),2001,Eastern Mediterranean,Somalia,3.9
Per capita total expenditure on health at average exchange rate (US$),1996,Eastern Mediterranean,Somalia,5
Per capita total expenditure on health at average exchange rate (US$),1998,Eastern Mediterranean,Somalia,7.5
Per capita total expenditure on health at average exchange rate (US$),2000,Eastern Mediterranean,Somalia,6.8
Per capita total expenditure on health at average exchange rate (US$),1995,Eastern Mediterranean,Somalia,4.8
Per capita total expenditure on health at average exchange rate (US$),1997,Eastern Mediterranean,Somalia,5.9
Per capita total expenditure on health at average exchange rate (US$),1999,Eastern Mediterranean,Somalia,7.5
Per capita government expenditure on health (PPP int. $),1998,Africa,South Africa,209.3
Per capita government expenditure on health (PPP int. $),1995,Africa,South Africa,169.3
Per capita government expenditure on health (PPP int. $),1997,Africa,South Africa,197.6
Per capita government expenditure on health (PPP int. $),1996,Africa,South Africa,171.4
Per capita government expenditure on health (PPP int. $),1999,Africa,South Africa,226
Per capita government expenditure on health (PPP int. $),2001,Africa,South Africa,238.7
Per capita government expenditure on health (PPP int. $),2003,Africa,South Africa,257.4
Per capita government expenditure on health (PPP int. $),2012,Africa,South Africa,470.5
Per capita government expenditure on health (PPP int. $),2008,Africa,South Africa,372.5
Per capita government expenditure on health (PPP int. $),2010,Africa,South Africa,416.3
Per capita government expenditure on health (PPP int. $),2011,Africa,South Africa,443.4
Per capita government expenditure on health (PPP int. $),2007,Africa,South Africa,335.6
Per capita government expenditure on health (PPP int. $),2004,Africa,South Africa,255.5
Per capita government expenditure on health (PPP int. $),2002,Africa,South Africa,241.1
Per capita government expenditure on health (PPP int. $),2006,Africa,South Africa,307.9
Per capita government expenditure on health (PPP int. $),2000,Africa,South Africa,227.9
Per capita government expenditure on health (PPP int. $),2005,Africa,South Africa,284
Per capita government expenditure on health (PPP int. $),2009,Africa,South Africa,402.4
Per capita government expenditure on health at average exchange rate (US$),2001,Africa,South Africa,90.2
Per capita government expenditure on health at average exchange rate (US$),2000,Africa,South Africa,101.5
Per capita government expenditure on health at average exchange rate (US$),1998,Africa,South Africa,104.1
Per capita government expenditure on health at average exchange rate (US$),2004,Africa,South Africa,150
Per capita government expenditure on health at average exchange rate (US$),2003,Africa,South Africa,124.8
Per capita government expenditure on health at average exchange rate (US$),2005,Africa,South Africa,172.9
Per capita government expenditure on health at average exchange rate (US$),1996,Africa,South Africa,97.4
Per capita government expenditure on health at average exchange rate (US$),1995,Africa,South Africa,107.3
Per capita government expenditure on health at average exchange rate (US$),1997,Africa,South Africa,111.1
Per capita government expenditure on health at average exchange rate (US$),2006,Africa,South Africa,181.7
Per capita government expenditure on health at average exchange rate (US$),2007,Africa,South Africa,199.9
Per capita government expenditure on health at average exchange rate (US$),1999,Africa,South Africa,107.4
Per capita government expenditure on health at average exchange rate (US$),2002,Africa,South Africa,81.2
Per capita government expenditure on health at average exchange rate (US$),2008,Africa,South Africa,200
Per capita government expenditure on health at average exchange rate (US$),2009,Africa,South Africa,226.1
Per capita government expenditure on health at average exchange rate (US$),2010,Africa,South Africa,286.4
Per capita government expenditure on health at average exchange rate (US$),2011,Africa,South Africa,319.3
Per capita government expenditure on health at average exchange rate (US$),2012,Africa,South Africa,308.7
Per capita total expenditure on health (PPP int. $),1996,Africa,South Africa,477.1
Per capita total expenditure on health (PPP int. $),1997,Africa,South Africa,509.5
Per capita total expenditure on health (PPP int. $),1999,Africa,South Africa,564
Per capita total expenditure on health (PPP int. $),1995,Africa,South Africa,427.2
Per capita total expenditure on health (PPP int. $),2008,Africa,South Africa,813.7
Per capita total expenditure on health (PPP int. $),2010,Africa,South Africa,893.6
Per capita total expenditure on health (PPP int. $),1998,Africa,South Africa,531.5
Per capita total expenditure on health (PPP int. $),2000,Africa,South Africa,551.4
Per capita total expenditure on health (PPP int. $),2004,Africa,South Africa,698.7
Per capita total expenditure on health (PPP int. $),2005,Africa,South Africa,739.9
Per capita total expenditure on health (PPP int. $),2006,Africa,South Africa,771.5
Per capita total expenditure on health (PPP int. $),2011,Africa,South Africa,929.6
Per capita total expenditure on health (PPP int. $),2001,Africa,South Africa,591
Per capita total expenditure on health (PPP int. $),2009,Africa,South Africa,861.8
Per capita total expenditure on health (PPP int. $),2002,Africa,South Africa,607.7
Per capita total expenditure on health (PPP int. $),2007,Africa,South Africa,754.5
Per capita total expenditure on health (PPP int. $),2003,Africa,South Africa,639.1
Per capita total expenditure on health (PPP int. $),2012,Africa,South Africa,982.3
Per capita total expenditure on health at average exchange rate (US$),2002,Africa,South Africa,204.5
Per capita total expenditure on health at average exchange rate (US$),2000,Africa,South Africa,245.7
Per capita total expenditure on health at average exchange rate (US$),1997,Africa,South Africa,286.3
Per capita total expenditure on health at average exchange rate (US$),1995,Africa,South Africa,270.8
Per capita total expenditure on health at average exchange rate (US$),2007,Africa,South Africa,449.5
Per capita total expenditure on health at average exchange rate (US$),2001,Africa,South Africa,223.4
Per capita total expenditure on health at average exchange rate (US$),1999,Africa,South Africa,268
Per capita total expenditure on health at average exchange rate (US$),2003,Africa,South Africa,309.8
Per capita total expenditure on health at average exchange rate (US$),1996,Africa,South Africa,271
Per capita total expenditure on health at average exchange rate (US$),2006,Africa,South Africa,455.3
Per capita total expenditure on health at average exchange rate (US$),2004,Africa,South Africa,410.4
Per capita total expenditure on health at average exchange rate (US$),2005,Africa,South Africa,450.5
Per capita total expenditure on health at average exchange rate (US$),2009,Africa,South Africa,484.2
Per capita total expenditure on health at average exchange rate (US$),1998,Africa,South Africa,264.5
Per capita total expenditure on health at average exchange rate (US$),2008,Africa,South Africa,436.8
Per capita total expenditure on health at average exchange rate (US$),2010,Africa,South Africa,614.8
Per capita total expenditure on health at average exchange rate (US$),2012,Africa,South Africa,644.6
Per capita total expenditure on health at average exchange rate (US$),2011,Africa,South Africa,669.5
Per capita government expenditure on health (PPP int. $),2012,Eastern Mediterranean,South Sudan,12.7
Per capita government expenditure on health (PPP int. $),2011,Eastern Mediterranean,South Sudan,14.4
Per capita government expenditure on health at average exchange rate (US$),2010,Eastern Mediterranean,South Sudan,10.3
Per capita government expenditure on health at average exchange rate (US$),2009,Eastern Mediterranean,South Sudan,8
Per capita government expenditure on health at average exchange rate (US$),2011,Eastern Mediterranean,South Sudan,13.4
Per capita government expenditure on health at average exchange rate (US$),2008,Eastern Mediterranean,South Sudan,10
Per capita government expenditure on health at average exchange rate (US$),2012,Eastern Mediterranean,South Sudan,10.6
Per capita total expenditure on health (PPP int. $),2012,Eastern Mediterranean,South Sudan,32.7
Per capita total expenditure on health (PPP int. $),2011,Eastern Mediterranean,South Sudan,34.7
Per capita total expenditure on health at average exchange rate (US$),2012,Eastern Mediterranean,South Sudan,27.4
